id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,locality,location,price
9179,Green Gables Bungalow Court Cottages,4.5,Excellent,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",8663 Cavendish Rd - Rte 6 Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",
9180,Lakeview Lodge & Cottages,4.5,Excellent,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Air conditioning', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",8715 Cavendish Rd - Rte 6 Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",
9181,Swept Away Cottages,4.5,Excellent,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Children Activities (Kid / Family Friendly)', 'Golf Course', 'Hot Tub', 'Laundry Service', 'Non-smoking hotel', 'Outdoor pool', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9182,Montgomery Cavendish Cottages,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",68 Sunset Lane Cavendish Prince Edwar,Canada,Kimberley British Columbia,"('nil', 'nil')",
9183,Marco Polo Land Campground,4.0,Very good,"['Pool', 'Free Internet', 'Restaurant', 'Free parking', 'Babysitting', 'Children Activities (Kid / Family Friendly)']",7406 Rte 13 Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",
9184,Shining Waters - Ingleside Resort,3.5,Very good,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Restaurant', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Outdoor pool', 'Self-Serve Laundry', 'Air conditioning', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",7600 Cawnpore Lane / Rte 13 Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",
9185,Hidden Acres Cottages,4.5,Excellent,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",27 Clarence Lane Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",
9186,Abby Lane Summer Homes,4.5,Excellent,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Laundry Service', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Suites']",397 Simpson Mill Rd Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",
9187,Resort at Cavendish Corner,3.5,Very good,"['Pool', 'Free parking', 'Free Internet', 'Fitness Centre with Gym / Workout Room', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms']",8566 Cavendish Rd - Rte 6 Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",
9188,Avonlea Cottages,3.5,Very good,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Non-smoking hotel', 'Outdoor pool', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",8925 Cavendish Rd - Rte 6 Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",
9189,Marco Polo Inn,4.0,Very good,"['Pool', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Babysitting', 'Business Centre with Internet Access', 'Children Activities (Kid / Family Friendly)', 'Golf Course', 'Kids pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Shuttle Bus Service', 'Air conditioning']",7406 Rte 13 Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",
9190,Cavendish Corner Motel Inn,3.0,Average,[],7600 Cawnpore Lane Cavendish Prince Edward Island,Canada,Kimberley British Columbia,"(46.3355508, -63.1466676)",
9191,Auberge au Poste de Traite,4.5,Excellent,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Breakfast Available', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms']",2287 Chemin Royal Sainte-Famille Quebec,Canada,Kimberley British Columbia,"(46.99472, -70.9219385)",107
9192,Motel Ile d'Orleans,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast Available', 'Concierge', 'Golf Course', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Shuttle Bus Service', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",50 Saint-Laurent-de-l'Ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.87818545, -70.996714053301)",
9193,Le Giron de L'Isle,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms']",12 Saint-Jean-de-l'ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.93474805, -70.8773650427273)",
9194,La Goeliche,4.0,Very good,"['Pool', 'Restaurant', 'Free parking', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms', 'Suites']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9195,Les Ancetres,5.0,Excellent,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Bar/Lounge', 'Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms']",1101 Chemin Royal Saint Pierre d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.8808069, -71.0870836)",
9196,Gîte Au Tournant de l'Ile d'Orleans,5.0,Excellent,"['Pool', 'Room service', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Electric vehicle charging station', 'Heated pool', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Wheelchair Access', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9197,Gite Au Toit Bleu,4.0,Very good,['Free High Speed Internet (WiFi)'], ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9198,Auberge Le P'tit Bonheur,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Family Rooms']",186 Cote Lafleur Saint-Jean-de-l'ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.9077815813793, -70.9353286497464)",
9199,Auberge Chaumonot,4.5,Excellent,['Air conditioning'],425 chemin Royale Saint-Francois-de-l'Ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",
9200,Auberge la Grange de l'Ile,3.5,Very good,"['Free parking', 'Restaurant', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Business Centre with Internet Access', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9201,Auberge Les Blancs Moutons,3.5,Very good,"['Free parking', 'Breakfast included', 'Meeting rooms', 'Non-smoking hotel', 'Non-smoking rooms']",6827 chemin Royal Saint-Laurent-de-l'Ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.8782946, -70.9769329)",
9202,Gite a la Brunante,4.5,,[],3469 chemin Royal ,Canada,Kimberley British Columbia,"(49.2635243, 3.2365165)",
9203,Le Vieux Presbytere,3.5,Very good,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",1247 av. Mgr. d'Esgly Saint Pierre d'Orleans Quebec,Canada,Kimberley British Columbia,"(52.4760892, -71.8258668)",
9204,La Vieille Maison Fradet,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Air conditioning', 'Family Rooms']",1584 Chemin Royal Saint-Laurent-de-l'Ile-d'Orleans Quebec,Canada,Kimberley British Columbia,"(46.8602332777778, -71.0088540444444)",
9205,Au Vieux Foyer,3.5,,[],2687 chemin Royal ,Canada,Kimberley British Columbia,"(49.2635243, 3.2365165)",
9206,Chalets Plage St-Jean,4.0,,[],4878 Chemin Royal ,Canada,Kimberley British Columbia,"(49.2635243, 3.2365165)",
9207,Bed and Breakfast Belle Vue,,,"['Free parking', 'Free High Speed Internet (WiFi)', 'Airport transportation', 'Babysitting', 'Golf Course', 'Laundry Service', 'Non-smoking hotel']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9208,Gite La Cinquieme Saison,,,[], ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9209,Gite la Coulee Douce,4.5,,[],1669 Chemin Royal ,Canada,Kimberley British Columbia,"(49.2635243, 3.2365165)",
9210,Franklin Suite Hotel,4.5,Excellent,"['Free parking', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Shuttle Bus Service', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",10300 Franklin Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7310042, -111.38888455921)",
9211,Best Western Plus Sawridge Suites,5.0,Excellent,"['Room service', 'Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Spa', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",410 Taiganova Cres Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7711261, -111.4245687)",
9212,Clearwater Suite Hotel,,,[],4 Haineault St Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.72305955, -111.380565753976)",143
9213,Merit Hotel & Suites,,,[],8200 Franklin Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7154443, -111.3494505)",127
9214,Clearwater Residence Hotel Timberlea,4.0,,[],118 Millennium Dr ,Canada,Kimberley British Columbia,"(56.7557060949278, -111.463764917551)",159
9215,Platinum Hotels,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Free parking', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9216,River Station Suite Hotel,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Room service', 'Restaurant', 'Bar/Lounge', 'Spa', 'Banquet Room', 'Breakfast Available', 'Conference Facilities', 'Meeting rooms', 'Non-smoking hotel', 'Paid Internet', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",29-8102 Fraser Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(55.001251, -115.002136)",
9217,Stonebridge Hotel Fort McMurray,2.5,Average,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Room service', 'Spa', 'Fitness Centre with Gym / Workout Room', 'Business Centre with Internet Access', 'Golf Course', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Shuttle Bus Service', 'Kitchenette', 'Non-smoking rooms', 'Suites']",9713 Hardin St Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7244901, -111.38082038256)",107
9218,Microtel Inn & Suites by Wyndham Fort McMurray,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Hot Tub', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",317 Sakitawaw Trail Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.6825665, -111.3527455)",169
9219,Super 8 by Fort McMurray,4.0,Very good,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9220,Radisson Hotel & Suites Fort McMurray,4.5,Excellent,"['Restaurant', 'Free parking', 'Free High Speed Internet (WiFi)', 'Room service', 'Bar/Lounge', 'Pool', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Tennis Court', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']",435 Gregoire Dr Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.6868434475648, -111.350110064484)",
9221,Podollan Inn & Spa,4.5,Excellent,"['Free parking', 'Restaurant', 'Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Spa', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms', 'Suites']",10612 99 Ave Grande Prairie Alberta,Canada,Kimberley British Columbia,"(55.1696611725865, -118.817352687477)",
9222,Nomad Hotel and Suites,3.5,Very good,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Fitness Centre with Gym / Workout Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Golf Course', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Smoking rooms available', 'Suites']",10006 Macdonald Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7270945, -111.38287)",
9223,Podollan Rez-idence Fort McMurray,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Free parking', 'Room service', 'Airport transportation', 'Business Centre with Internet Access', 'Dry Cleaning', 'Laundry Service', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",10303 Franklin Avenue Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7303008, -111.389264845366)",
9224,McMurray Inn Motel,3.5,Very good,"['Air conditioning', 'Refrigerator in room']",9906 Saunderson Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7244919, -111.3821862)",
9225,Chez Dube Country Inn,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Family Rooms', 'Non-smoking rooms']",10102 Fraser Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.730564, -111.3824283)",169
9226,East Village Suites by LIAM,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Free parking', 'Restaurant', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Paid Internet', 'Paid Wifi', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",355 Loutit Roa Fort McMurray Alberta,Canada,Kimberley British Columbia,"(55.001251, -115.002136)",
9227,The Bridgeport Inn,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Breakfast included', 'Free parking', 'Business Centre with Internet Access', 'Laundry Service', 'Non-smoking hotel', 'Air conditioning', 'Family Rooms']",10021 Biggs Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.72670105, -111.385670154232)",
9228,Platinum Residences,4.5,,[],8202 Manning Avenue ,Canada,Kimberley British Columbia,"(34.032276, -118.4080344)",
9229,Ace Inn Hotel & Conference Centre,2.0,Poor,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Concierge', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",9913 Biggs Ave Fort McMurray Alberta,Canada,Kimberley British Columbia,"(56.7255428685098, -111.382326056725)",87
9230,At Home Lodging Ltd,,,[],Highway 69 ,Canada,Kimberley British Columbia,"(35.669685, -91.4257804)",
9231,400 Silin Forest,,,[],138-400 Silin Forest Rd ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9232,TownePlace Suites Fort McMurray,,,[],321 Sakitawaw Trail ,Canada,Kimberley British Columbia,"(56.6825665, -111.3527455)",
9233,Park Motel,,,[],832 4th Ave Hope British Columbia,Canada,Kimberley British Columbia,"(49.3797231, -121.4391535)",
9234,Colonial 900 Motel,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Free parking', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",900 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.3743562, -121.4194574)",
9235,Royal Windsor Motel,2.5,Average,"['Free High Speed Internet (WiFi)', 'Room service', 'Free parking', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9236,Hope City Centre Motel,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Concierge', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",455 Wallace Street Hope British Columbia,Canada,Kimberley British Columbia,"(49.3787674, -121.4435682)",
9237,Travelodge Hope,3.5,Very good,"['Free parking', 'Pool', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Kitchenette', 'Non-smoking rooms']",350 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.3731275, -121.4118828)",
9238,Canadas Best Value Inn - Hope,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",377 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.3754488, -121.4362387)",
9239,Best Continental Motel,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9240,The Swiss Chalets Motel,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Free parking', 'Restaurant', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",456 Highway 1 Hope British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",
9241,Elmwood Heritage Inn,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Hot Tub', 'Non-smoking hotel', 'Air conditioning', 'Minibar', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",121 North River Rd Charlottetown Prince Edward Island,Canada,Kimberley British Columbia,"(46.2360866714286, -63.1411884428571)",
9242,Alpine Motel Kamloops,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",1393 Hugh Allan Dr Kamloops British Columbia,Canada,Kimberley British Columbia,"(50.651315, -120.376591)",
9243,Holiday Motel & RV Resort,3.5,Very good,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",63950 Old Yale Rd Hope British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",
9244,Coquihalla Motel,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",724 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.375119, -121.4247988)",
9245,Red Roof Inn Motel,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",477 Fraser Avenue Hope British Columbia,Canada,Kimberley British Columbia,"(49.3782635, -121.4422531)",
9246,Lucky Strike Motel,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Room service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",504 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.3731275, -121.4118828)",
9247,Inn Towne Motel,3.0,Average,"['Free High Speed Internet (WiFi)', 'Free parking', 'Golf Course', 'Hot Tub', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']", ,Canada,Kimberley British Columbia,"('nil', 'nil')",
9248,Royal Lodge Motel,3.0,Average,"['Free High Speed Internet (WiFi)', 'Free parking', 'Meeting rooms', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",580 Old Hope Princeton Way Hope British Columbia,Canada,Kimberley British Columbia,"(49.3731275, -121.4118828)",
9249,Evergreen B & B,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']",1208 Ryder St Hope British Columbia,Canada,Kimberley British Columbia,"(49.3748563, -121.4334181)",
9250,High Hopes Bed & Breakfast,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms']",21623 Thacker Mtn Rd Hope British Columbia,Canada,Kimberley British Columbia,"(49.3873417, -121.4271937)",
9251,Sunshine Valley RV Resort & Cabins,4.0,Very good,"['Pool', 'Free parking', 'Fitness Centre with Gym / Workout Room', 'Children Activities (Kid / Family Friendly)', 'Hot Tub', 'Indoor pool', 'Meeting rooms', 'Outdoor pool', 'Paid Internet', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Microwave', 'Refrigerator in room']",14850 Alpine Blvd Hope British Columbia,Canada,Kimberley British Columbia,"(49.2677248, -121.2376262)",
9252,Barb's Bed and Breakfast : the-3-bees,5.0,,[],66004 Ogilview Dr ,Canada,Kimberley British Columbia,"(49.3819289, -121.4047613)",
9253,Lake of the Woods Resort/Motel,2.5,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",22805 Trans Canada Hwy Hope British Columbia,Canada,Kimberley British Columbia,"(49.3677826, -121.4525176)",77
9254,Wild Rose Campground & R.V Park,3.5,Very good,['Pets Allowed ( Dog / Pet Friendly )'],Flood-Hope Road 1 Hope British Columb,Canada,Kimberley British Columbia,"('nil', 'nil')",
9255,Coquihalla Campground,3.5,Very good,"['Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry']",800 Kawkawa Lake Rd Hope British Columbia,Canada,Kimberley British Columbia,"(49.3801501, -121.4264003)",
9256,Hope Valley RV Park,3.5,Very good,['Pets Allowed ( Dog / Pet Friendly )'],62280 Flood Hope Rd Hope British Columbia,Canada,Kimberley British Columbia,"(55.001251, -125.002441)",
9257,Telte Yet Campsite,3.5,,[],600 Water Ave ,Canada,Kimberley British Columbia,"(37.816849, -88.928122)",
9258,Kawkawa Lake Resort & Campground,2.5,,[],66427 Kawkawa Lake Rd ,Canada,Kimberley British Columbia,"('nil', 'nil')",
