id,hotel_name,hotel_rating,hotel_experience,amenities,address,country,location,price
1232,Holiday Inn Kingston - Waterfront,3.5,Very good,"['Pool', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Room service', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",2 Princess St Kingston Ontario,Canada,"(44.2309763, -76.4786824)",
1233,Hochelaga Inn,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",24 Sydenham St Kingston Ontario,Canada,"(44.2284985, -76.4885418426606)",136.0
1234,Delta Hotels by Marriott Kingston Waterfront,4.0,Very good,"['Pool', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Room service', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms', 'Suites']",1 Johnson St Kingston Ontario,Canada,"(44.2278065, -76.4796930314934)",188.0
1235,Best Western Fireside Inn,4.5,Excellent,"['Pool', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Free parking', 'Restaurant', 'Breakfast included', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Electric vehicle charging station', 'Heated pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms', 'Suites']",1217 Princess St Kingston Ontario,Canada,"(44.2467050555556, -76.5230864444444)",
1237,Holiday Inn Express Hotel & Suites Kingston,,,[],11 Benson St Kingston Ontario,Canada,"(44.266761, -76.4972150413043)",144.0
1238,Residence Inn Kingston Water's Edge,4.5,Excellent,"['Pool', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Breakfast included', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",7 Earl St Kingston Ontario,Canada,"(44.2296838, -76.5015344)",144.0
1239,Lord Nelson Motel,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",1664 Highway 15 Kingston Ontario,Canada,"(44.286008, -76.4328077755616)",69.0
1240,Courtyard by Marriott Kingston Highway 401 / Division Street,4.5,Excellent,"['Pool', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",103 Dalton Ave Kingston Ontario,Canada,"(44.2659244786314, -76.5031657564214)",
1241,Green Acres Inn,4.5,Excellent,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",2480 Princess St Kingston Ontario,Canada,"(44.2583951091215, -76.5624695723348)",
1242,Green Woods Inn,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Electric vehicle charging station', 'Non-smoking hotel', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",1368 Highway 15 Kingston Ontario,Canada,"(44.2757347130441, -76.443940957083)",165.0
1243,Secret Garden Bed & Breakfast Inn,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",73 Sydenham St Kingston Ontario,Canada,"(44.2297406, -76.4878059)",175.0
1244,Ambassador Hotel & Conference Centre,3.5,Very good,"['Free parking', 'Pool', 'Free High Speed Internet (WiFi)', 'Room service', 'Restaurant', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Public Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",1550 Princess St Kingston Ontario,Canada,"(44.252265, -76.536933684593)",
1245,Thriftlodge Kingston,3.0,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Banquet Room', 'Breakfast Available', 'Conference Facilities', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms', 'Suites']",1187 Princess St Kingston Ontario,Canada,"(44.2461107222222, -76.5218200277778)",87.0
1246,Four Points by Sheraton Kingston,3.5,Very good,"['Pool', 'Restaurant', 'Room service', 'Fitness Centre with Gym / Workout Room', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Non-smoking rooms', 'Suites']",285 King St E Kingston Ontario,Canada,"(44.2294789, -76.4818142)",
1247,Days Inn by Wyndham Kingston,,,[],1 First Canada Crt Kingston Ontario,Canada,"(50.000678, -86.000977)",84.0
1248,Confederation Place Hotel,,,[],237 Ontario St Kingston Ontario,Canada,"(44.2303082, -76.4794999)",94.0
1250,Super 8 by Wyndham Kingston,,,[],794 Highway 2 Kingston Ontario,Canada,"(44.2419680651498, -76.4315912387905)",96.0
1251,Motel 6 Kingston,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms']",1542 Robinson Crt Kingston Ontario,Canada,"(44.2824725, -76.566175144)",95.0
1252,Howard Johnson by Wyndham Kingston,3.0,Average,"['Free parking', 'Pool', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Kids pool', 'Non-smoking hotel', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Family Rooms', 'Non-smoking rooms']",686 Princess St Kingston Ontario,Canada,"(44.237522, -76.5037709639794)",76.0
1253,Travelodge Kingston LaSalle Hotel,3.5,Very good,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Pool', 'Bar/Lounge', 'Room service', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Dry Cleaning', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Sauna', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",2360 Princess St Kingston Ontario,Canada,"(44.25830994, -76.5531738)",
1254,Ramada by Wyndham Kingston Hotel and Conference Centre,3.0,Average,"['Restaurant', 'Pool', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Bar/Lounge', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Heated pool', 'Indoor pool', 'Meeting rooms', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",33 Benson St Kingston Ontario,Canada,"(44.2675755, -76.4957293590731)",110.0
1255,Donald Gordon Conference Centre,4.0,Very good,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Business Centre with Internet Access', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Accessible rooms', 'Non-smoking rooms']",421 Union St W Kingston Ontario,Canada,"(44.2246394, -76.50989)",139.0
1256,Hilltop Motel,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Non-smoking rooms']",2287 Princess St Kingston Ontario,Canada,"(44.2580967428571, -76.5464463857143)",
1257,Seven Oakes Motel,3.5,Very good,"['Free High Speed Internet (WiFi)', 'Pool', 'Free parking', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",2331 Princess St Kingston Ontario,Canada,"(44.2580146916667, -76.5502017458333)",
1258,Hotel Belvedere,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms']",141 King St E Kingston Ontario,Canada,"(44.22531315625, -76.4856332875)",129.0
1259,The Queen's Inn,3.5,Very good,"['Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms']",125 Brock St Kingston Ontario,Canada,"(44.2309013, -76.4838056)",134.0
1260,Maple Crest Inn,3.0,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Non-smoking rooms']",1454 Princess St Kingston Ontario,Canada,"(44.250565, -76.5330203464366)",
1261,Laura's Bed & Breakfast,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Breakfast Available', 'Non-smoking hotel', 'Air conditioning', 'Non-smoking rooms']",2904 Cloggs Rd Kingston Ontario,Canada,"(44.2845229101164, -76.5800546394092)",
1263,Knights Inn Kingston,3.0,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Pets Allowed ( Dog / Pet Friendly )', 'Wheelchair Access', 'Air conditioning', 'Non-smoking rooms']",1155 Princess St Kingston Ontario,Canada,"(44.2458257, -76.5202001)",69.0
1264,Kingston Motel East,3.0,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",1488 Highway 15 Kingston Ontario,Canada,"(44.2802309148263, -76.4388762453408)",69.0
1265,Econo Lodge City Centre,,,[],840 Princess St Kingston Ontario,Canada,"(44.2396316, -76.5085365)",85.0
1266,Bayside Inn & Waterfront Suites,3.0,Average,"['Free High Speed Internet (WiFi)', 'Free parking', 'Meeting rooms', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms', 'Suites']",4024 Bath Rd Kingston Ontario,Canada,"(44.2417665244693, -76.6095257086487)",
1267,Fort Henry Motel,3.0,,[],848 Highway 2 East ,Canada,"(48.100883, -98.853398)",90.0
1268,Welcome Traveller Motel,2.5,Average,"['Free parking', 'Free High Speed Internet (WiFi)', 'Babysitting', 'Children Activities (Kid / Family Friendly)', 'Hot Tub', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",3100 Princess St Kingston Ontario,Canada,"(44.2625305, -76.5983193918701)",67.0
1269,The Rosemount Inn,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Breakfast Available', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms', 'Suites']",46 Sydenham St Kingston Ontario,Canada,"(44.2291257, -76.4882149)",
1270,All Suites Whitney Manor,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Electric vehicle charging station', 'Non-smoking hotel', 'Public Wifi', 'Self-Serve Laundry', 'Air conditioning', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms', 'Suites']",8 Starr Pl Kingston Ontario,Canada,"(44.2500648, -76.4025231)",
1271,The O'Brien House Bed and Breakfast,4.0,Very good,"['Free parking', 'Non-smoking hotel', 'Air conditioning', 'Refrigerator in room']",39 Glenaire Mews Kingston Ontario,Canada,"(44.25656198, -76.52341328)",
1272,de Haan's B&B,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Concierge', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Shuttle Bus Service', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",1107 King St W Kingston Ontario,Canada,"(44.22023716, -76.5393780066667)",
1273,Embassy Motel,,,[],2404 Princess St Kingston Ontario,Canada,"(44.2583390181818, -76.5559428545455)",
1274,Rosa's Bed and Breakfast,4.5,Excellent,"['Free High Speed Internet (WiFi)', 'Pool', 'Babysitting', 'Children Activities (Kid / Family Friendly)', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms']",629 Johnson St Kingston Ontario,Canada,"(44.231586, -76.5037228)",
1275,Waves & Winks B&B,5.0,Excellent,"['Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",905 Front Rd Kingston Ontario,Canada,"(44.2173613, -76.5824676)",
1276,David C. Smith House,3.5,Very good,"['Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Air conditioning', 'Family Rooms']",222 Stuart St Kingston Ontario,Canada,"(44.223667625, -76.4988987333333)",
1277,St Lawrence College Kingston Residence and Conference Centre,3.5,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Fitness Centre with Gym / Workout Room', 'Banquet Room', 'Business Centre with Internet Access', 'Conference Facilities', 'Golf Course', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Self-Serve Laundry', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Non-smoking rooms']",23 Country Club Dr Kingston Ontario,Canada,"(44.2212123331933, -76.5302408708117)",
1278,Elizabeth's Rose Cottage B&B,4.5,,[],290 Frontenac St ,Canada,"(44.2306762103448, -76.4987071896552)",
1279,Brock Street B & B,4.0,,[],397 Brock St ,Canada,"(44.3064245, -78.9921954)",
1280,Queen's University - Leggett Hall,3.5,Very good,"['Free High Speed Internet (WiFi)', 'Laundry Service', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms']",194 Stuart St Kingston Ontario,Canada,"(44.2237710449148, -76.4978408435648)",
1283,Thriftlodge Motel Kingston West,2.5,Average,"['Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",2467 Princess St Kingston Ontario,Canada,"(44.2576455, -76.5626878651515)",
1286,General Wolfe Hotel,3.0,Average,"['Restaurant', 'Bar/Lounge', 'Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Non-smoking rooms']",1237 Main Street Kingston Ontario,Canada,"(44.236519, -76.4921463)",
1287,Fairmont Le Manoir Richelieu,4.5,Excellent,"['Fitness Centre with Gym / Workout Room', 'Room service', 'Restaurant', 'Pool', 'Free Internet', 'Free parking', 'Bar/Lounge', 'Spa', 'Babysitting', 'Banquet Room', 'Breakfast Available', 'Business Centre with Internet Access', 'Casino and Gambling', 'Children Activities (Kid / Family Friendly)', 'Concierge', 'Conference Facilities', 'Dry Cleaning', 'Golf Course', 'Heated pool', 'Hot Tub', 'Indoor pool', 'Laundry Service', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Paid Wifi', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Tennis Court', 'Wheelchair Access', 'Air conditioning', 'Minibar', 'Accessible rooms', 'Family Rooms', 'Non-smoking rooms', 'Suites']",181 rue Richelieu La Malbaie Quebec,Canada,"(47.623021, -70.14461)",
1288,Hotel-Motel Castel de la Mer,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms']",1125 Richelieu La Malbaie Quebec,Canada,"(47.6359913, -70.1434782)",90.0
1289,Chez Truchon Bistro Auberge,4.5,Excellent,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Banquet Room', 'Breakfast Available', 'Conference Facilities', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Family Rooms', 'Non-smoking rooms', 'Suites']",1065 Richelieu La Malbaie Quebec,Canada,"(47.6354813656744, -70.1435546091246)",
1290,Auberge Fleurs de Lune,,,[],30 La Malbaie Quebec,Canada,"(47.657525, -70.153885)",85.0
1291,Hotel Pavillons Le Petit Manoir du Casino,,,[],525 Chemin des Falaises La Malbaie Quebec,Canada,"(47.6230856, -70.1445254)",138.0
1292,Auberge sur la Cote,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Hot Tub', 'Multilingual Staff', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms']",20 La Malbaie Quebec,Canada,"(47.657525, -70.153885)",
1293,Gite Bellevue,4.5,Excellent,"['Free Internet', 'Free parking', 'Golf Course', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )']",255 Cote Bellevue La Malbaie Quebec,Canada,"(47.6240101709983, -70.1505381869195)",85.0
1294,Auberge Des 3 Canards,4.0,Very good,"['Restaurant', 'Free parking', 'Free High Speed Internet (WiFi)', 'Pool', 'Bar/Lounge', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel', 'Tennis Court', 'Wheelchair Access', 'Air conditioning', 'Non-smoking rooms']",115 Cote Bellevue La Malbaie Quebec,Canada,"(47.6276172, -70.1471627)",
1295,Les Pinsons des Rives,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Golf Course', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Non-smoking rooms']",83 La Malbaie Quebec,Canada,"(47.657525, -70.153885)",
1296,Auberge de Jeunesse La Malbaie,4.0,Very good,"['Free parking', 'Restaurant', 'Bar/Lounge', 'Free High Speed Internet (WiFi)', 'Breakfast Available', 'Golf Course', 'Laundry Service', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",435 Rue St-Etienne La Malbaie Quebec,Canada,"(47.6511085, -70.1503676)",
1297,Econo Lodge La Malbaie,3.5,Very good,"['Restaurant', 'Free parking', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Meeting rooms', 'Non-smoking hotel', 'Tennis Court', 'Air conditioning', 'Refrigerator in room', 'Family Rooms', 'Non-smoking rooms']",625 Boulevard de Comporte La Malbaie Quebec,Canada,"(47.656076291503, -70.1507090712274)",
1298,Auberge Petite Plaisance,,,[],310 Saint-Raphael La Malbaie Quebec,Canada,"(52.4760892, -71.8258668)",84.0
1299,Petit Hotel Amara,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Restaurant', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",905 Richelieu La Malbaie Quebec,Canada,"(47.6340577940417, -70.143127353492)",81.0
1300,Motel Le Point de Vue,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Children Activities (Kid / Family Friendly)', 'Electric vehicle charging station', 'Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms']",109 La Malbaie Quebec,Canada,"(47.657525, -70.153885)",69.0
1301,Motel Le Riviera,3.5,Very good,"['Pool', 'Room service', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Bar/Lounge', 'Breakfast Available', 'Golf Course', 'Heated pool', 'Hot Tub', 'Non-smoking hotel', 'Outdoor pool', 'Pets Allowed ( Dog / Pet Friendly )', 'Tennis Court', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Family Rooms', 'Kitchenette', 'Non-smoking rooms']",1510 boulevard De Comporte La Malbaie Quebec,Canada,"(47.6608304662767, -70.156069634464)",69.0
1302,Auberge La Mansarde,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms']",187 rue Saint Raphael La Malbaie Quebec,Canada,"(47.6599525506334, -70.1111675386352)",105.0
1303,La Chouenne,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Casino and Gambling', 'Golf Course', 'Hot Tub', 'Laundry Service', 'Multilingual Staff', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Shuttle Bus Service', 'Family Rooms', 'Non-smoking rooms']",367 Rue Saint Raphael La Malbaie Quebec,Canada,"(47.663410868186, -70.1050160140513)",
1304,Le 500 Richelieu,4.5,,[],500 rue Richelieu ,Canada,"(43.8407383, 4.3686758)",105.0
1305,Gite Aigle d'un Reve,5.0,,[],60 Rue Saint-Raphael ,Canada,"(46.8818232, -71.1572948)",105.0
1306,Le Mirage,4.0,Very good,"['Free High Speed Internet (WiFi)', 'Restaurant', 'Babysitting', 'Children Activities (Kid / Family Friendly)', 'Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Accessible rooms', 'Kitchenette', 'Non-smoking rooms']",18 La Malbaie Quebec,Canada,"(47.657525, -70.153885)",
1307,Maison Dufour & Bouchard,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Hot Tub', 'Non-smoking hotel', 'Air conditioning']",1-18 Laure-Conan St La Malbaie Quebec,Canada,"(52.4760892, -71.8258668)",90.0
1308,Motel Chez Pierre,2.0,Poor,"['Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Wheelchair Access', 'Air conditioning', 'Refrigerator in room', 'Non-smoking rooms', 'Smoking rooms available']",2020 Boul. de Comporte La Malbaie Quebec,Canada,"(52.4760892, -71.8258668)",
1309,Auberge des Falaises,4.5,Excellent,"['Pool', 'Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Spa', 'Room service', 'Bar/Lounge', 'Heated pool', 'Hot Tub', 'Meeting rooms', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Sauna', 'Wheelchair Access', 'Air conditioning', 'Accessible rooms', 'Non-smoking rooms', 'Suites']",250 Chemin des Falaises La Malbaie Quebec,Canada,"(47.6367888216927, -70.1518577311733)",
1310,Auberge La Chatelaine,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Non-smoking hotel', 'Public Wifi', 'Family Rooms', 'Non-smoking rooms']",830 des Falaises La Malbaie Quebec,Canada,"(52.4760892, -71.8258668)",
1311,Auberge des Eaux Vives,5.0,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included']",39 rue de la Greve La Malbaie Quebec,Canada,"(47.6621549, -70.098127)",
1312,Le Petit Felix,5.0,Excellent,"['Free parking', 'Breakfast included', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms']",160 rue du Quai La Malbaie Quebec,Canada,"(47.6223359, -70.1429299)",
1313,Hotel Au Petit Berger,4.0,Very good,"['Pool', 'Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Golf Course', 'Meeting rooms', 'Multilingual Staff', 'Non-smoking hotel', 'Outdoor pool', 'Public Wifi', 'Tennis Court', 'Air conditioning', 'Family Rooms', 'Non-smoking rooms', 'Suites']",20 Rue Desbiens La Malbaie Quebec,Canada,"(47.6304044, -70.1462285)",
1314,Auberge des Peupliers,4.0,Very good,"['Free parking', 'Free High Speed Internet (WiFi)', 'Breakfast Available', 'Hot Tub', 'Non-smoking hotel', 'Sauna', 'Family Rooms', 'Non-smoking rooms']",381 Saint-Raphael La Malbaie Quebec,Canada,"(52.4760892, -71.8258668)",
1315,Auberge les Sources,,,[],8 Rue Des Pins La Malbaie Quebec,Canada,"(47.6263715, -70.1420842)",
1316,Domaine Frais Air,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Non-smoking hotel', 'Pets Allowed ( Dog / Pet Friendly )', 'Public Wifi', 'Microwave', 'Refrigerator in room', 'Kitchenette', 'Non-smoking rooms']",3 La Malbaie Quebec,Canada,"(47.657525, -70.153885)",
1317,La Tourelle du Cap,,,[],151 La Malbaie Quebec,Canada,"(47.657525, -70.153885)",
1318,Auberge La Marmite,4.0,Very good,"['Free parking', 'Restaurant', 'Free High Speed Internet (WiFi)', 'Breakfast included', 'Babysitting', 'Dry Cleaning', 'Golf Course', 'Laundry Service', 'Meeting rooms', 'Non-smoking hotel']",109 La Malbaie Quebec,Canada,"(47.657525, -70.153885)",
1319,La Remontee Hotel & Apartments,4.0,Very good,"['Free Internet', 'Non-smoking hotel', 'Non-smoking rooms']",9 La Malbaie Quebec,Canada,"(47.657525, -70.153885)",
1320,Maison Victoria Inn,4.5,Excellent,"['Free parking', 'Free High Speed Internet (WiFi)', 'Golf Course', 'Non-smoking hotel', 'Public Wifi', 'Non-smoking rooms']",72 La Malbaie Quebec,Canada,"(47.657525, -70.153885)",
